"ITTER107","Territory","TIPO_DATO5","Data type","AGRI_MADRE","Type of crop","TIME","Select time","Value","Flag Codes","Flags"
"ITC42","Como","HP_Q_EXT","harvested production - quintals ","SOYA","soya beans","2010","2010",22950,,
"ITC42","Como","HP_Q_EXT","harvested production - quintals ","SOYA","soya beans","2011","2011",18000,,
"ITC42","Como","HP_Q_EXT","harvested production - quintals ","SOYA","soya beans","2012","2012",9800,,
"ITC42","Como","HP_Q_EXT","harvested production - quintals ","SOYA","soya beans","2013","2013",16440,,
"ITC42","Como","HP_Q_EXT","harvested production - quintals ","SOYA","soya beans","2014","2014",16600,,
"ITC42","Como","HP_Q_EXT","harvested production - quintals ","SOYA","soya beans","2015","2015",15225,,
"ITD57","Ravenna","ART","total area - hectares","SOYA","soya beans","2010","2010",1174,,
"ITD57","Ravenna","ART","total area - hectares","SOYA","soya beans","2011","2011",991,,
"ITD57","Ravenna","ART","total area - hectares","SOYA","soya beans","2012","2012",340,,
"ITD57","Ravenna","ART","total area - hectares","SOYA","soya beans","2013","2013",570,,
"ITD57","Ravenna","ART","total area - hectares","SOYA","soya beans","2014","2014",566,,
"ITD57","Ravenna","ART","total area - hectares","SOYA","soya beans","2015","2015",1250,,
"ITD56","Ferrara","TP_QUIN_EXT","total production - quintals ","SOYA","soya beans","2010","2010",588315,,
"ITD56","Ferrara","TP_QUIN_EXT","total production - quintals ","SOYA","soya beans","2011","2011",570900,,
"ITD56","Ferrara","TP_QUIN_EXT","total production - quintals ","SOYA","soya beans","2012","2012",182750,,
"ITD56","Ferrara","TP_QUIN_EXT","total production - quintals ","SOYA","soya beans","2013","2013",548182,,
"ITD56","Ferrara","TP_QUIN_EXT","total production - quintals ","SOYA","soya beans","2014","2014",851687,,
"ITD56","Ferrara","TP_QUIN_EXT","total production - quintals ","SOYA","soya beans","2015","2015",677511,,
"ITE18","Arezzo","ART","total area - hectares","SOYA","soya beans","2010","2010",120,,
"ITE18","Arezzo","ART","total area - hectares","SOYA","soya beans","2011","2011",110,,
"ITE18","Arezzo","ART","total area - hectares","SOYA","soya beans","2012","2012",20,,
"ITE18","Arezzo","ART","total area - hectares","SOYA","soya beans","2013","2013",12,,
"ITE18","Arezzo","ART","total area - hectares","SOYA","soya beans","2014","2014",47,,
"ITE18","Arezzo","ART","total area - hectares","SOYA","soya beans","2015","2015",45,,
"ITE1A","Grosseto","HP_Q_EXT","harvested production - quintals ","SOYA","soya beans","2014","2014",240,,
"ITE1A","Grosseto","HP_Q_EXT","harvested production - quintals ","SOYA","soya beans","2015","2015",220,"e","estimate data"
"ITD59","Rimini","HP_Q_EXT","harvested production - quintals ","SOYA","soya beans","2015","2015",405,,
"ITF11","L'Aquila","TP_QUIN_EXT","total production - quintals ","SOYA","soya beans","2010","2010",150,,
"ITF11","L'Aquila","TP_QUIN_EXT","total production - quintals ","SOYA","soya beans","2011","2011",150,,
"ITF11","L'Aquila","TP_QUIN_EXT","total production - quintals ","SOYA","soya beans","2012","2012",120,"e","estimate data"
"ITF11","L'Aquila","TP_QUIN_EXT","total production - quintals ","SOYA","soya beans","2013","2013",200,,
"ITF11","L'Aquila","TP_QUIN_EXT","total production - quintals ","SOYA","soya beans","2014","2014",190,,
"ITF11","L'Aquila","TP_QUIN_EXT","total production - quintals ","SOYA","soya beans","2015","2015",200,,
"ITC13","Biella","TP_QUIN_EXT","total production - quintals ","SOYA","soya beans","2010","2010",5217,"e","estimate data"
"ITC13","Biella","TP_QUIN_EXT","total production - quintals ","SOYA","soya beans","2011","2011",14265,"e","estimate data"
"ITC13","Biella","TP_QUIN_EXT","total production - quintals ","SOYA","soya beans","2012","2012",5500,"e","estimate data"
"ITC13","Biella","TP_QUIN_EXT","total production - quintals ","SOYA","soya beans","2013","2013",10660,,
"ITC13","Biella","TP_QUIN_EXT","total production - quintals ","SOYA","soya beans","2014","2014",14022,,
"ITC13","Biella","TP_QUIN_EXT","total production - quintals ","SOYA","soya beans","2015","2015",22740,,
"ITF4","Puglia","ART","total area - hectares","SOYA","soya beans","2010","2010",16,,
"ITF4","Puglia","ART","total area - hectares","SOYA","soya beans","2011","2011",11,,
"ITF4","Puglia","ART","total area - hectares","SOYA","soya beans","2012","2012",10,,
"ITC4","Lombardia","ART","total area - hectares","SOYA","soya beans","2010","2010",26300,,
"ITC4","Lombardia","ART","total area - hectares","SOYA","soya beans","2011","2011",28347,,
"ITC4","Lombardia","ART","total area - hectares","SOYA","soya beans","2012","2012",22761,,
"ITC4","Lombardia","ART","total area - hectares","SOYA","soya beans","2013","2013",33116,,
"ITC4","Lombardia","ART","total area - hectares","SOYA","soya beans","2014","2014",37096,,
"ITC4","Lombardia","ART","total area - hectares","SOYA","soya beans","2015","2015",54083,,
"ITD51","Piacenza","TP_QUIN_EXT","total production - quintals ","SOYA","soya beans","2010","2010",39800,,
"ITD51","Piacenza","TP_QUIN_EXT","total production - quintals ","SOYA","soya beans","2011","2011",33320,,
"ITD51","Piacenza","TP_QUIN_EXT","total production - quintals ","SOYA","soya beans","2012","2012",24200,,
"ITD51","Piacenza","TP_QUIN_EXT","total production - quintals ","SOYA","soya beans","2013","2013",21800,,
"ITD51","Piacenza","TP_QUIN_EXT","total production - quintals ","SOYA","soya beans","2014","2014",53440,,
"ITD51","Piacenza","TP_QUIN_EXT","total production - quintals ","SOYA","soya beans","2015","2015",55450,"e","estimate data"
"ITF12","Teramo","HP_Q_EXT","harvested production - quintals ","SOYA","soya beans","2010","2010",1009,,
"ITF12","Teramo","HP_Q_EXT","harvested production - quintals ","SOYA","soya beans","2011","2011",1066,,
"ITF12","Teramo","HP_Q_EXT","harvested production - quintals ","SOYA","soya beans","2012","2012",1095,,
"ITF12","Teramo","HP_Q_EXT","harvested production - quintals ","SOYA","soya beans","2013","2013",1125,,
"ITF12","Teramo","HP_Q_EXT","harvested production - quintals ","SOYA","soya beans","2014","2014",1050,,
"ITF12","Teramo","HP_Q_EXT","harvested production - quintals ","SOYA","soya beans","2015","2015",1000,,
"ITE12","Lucca","TP_QUIN_EXT","total production - quintals ","SOYA","soya beans","2010","2010",120,,
"ITE12","Lucca","TP_QUIN_EXT","total production - quintals ","SOYA","soya beans","2011","2011",144,,
"ITE12","Lucca","TP_QUIN_EXT","total production - quintals ","SOYA","soya beans","2012","2012",125,,
"ITE12","Lucca","TP_QUIN_EXT","total production - quintals ","SOYA","soya beans","2013","2013",78,,
