Province,Year,Value
18358,2010,66.9
18358,2011,66.9
18358,2012,59.5
18358,2013,59.5
18358,2014,59.5
18358,2015,52.0
18340,2010,59.2
18340,2011,35.7
18340,2012,32.7
18340,2013,59.5
18340,2014,59.4
18340,2015,37.2
18335,2010,58.0
18335,2011,49.1
18335,2012,25.3
18335,2013,50.6
18335,2014,69.9
18335,2015,40.1
18399,2010,52.0
18399,2011,47.6
18399,2013,37.2
18399,2014,37.2
18399,2015,36.3
18401,2014,29.7
18401,2015,29.7
18342,2015,40.1
18318,2010,44.6
18318,2011,44.6
18318,2012,35.7
18318,2013,42.5
18318,2014,40.4
18318,2015,42.5
18375,2010,69.3
18375,2011,40.9
18375,2012,28.2
18375,2013,38.7
18375,2014,38.7
18375,2015,38.6
18339,2010,43.8
18339,2011,41.6
18339,2012,37.9
18339,2013,29.7
18339,2014,47.6
18339,2015,47.9
18320,2010,37.5
18320,2011,35.2
18320,2012,36.2
18320,2013,37.2
18320,2014,37.2
18320,2015,37.2
18403,2010,34.5
18403,2011,8.7
18403,2012,35.7
18403,2013,37.2
18403,2014,16.1
18403,2015,20.2
18369,2010,44.9
18369,2011,38.0
18369,2012,31.2
18369,2013,37.0
18369,2014,40.3
18369,2015,36.0
18406,2010,45.6
18406,2011,44.6
18406,2012,44.6
18406,2013,39.7
18406,2014,35.7
18406,2015,34.2
18419,2010,54.6
18419,2011,55.0
18419,2012,38.5
18419,2013,55.0
18419,2014,63.9
18419,2015,46.9
18338,2010,51.2
18338,2011,52.5
18338,2012,47.2
18338,2013,53.0
18338,2014,49.1
18338,2015,50.5
18356,2010,53.4
18356,2011,53.8
18356,2012,47.5
18356,2013,38.7
18356,2014,55.0
18356,2015,59.0
18408,2011,75.3
18408,2014,32.3
18408,2015,29.6
18414,2010,50.6
18414,2011,45.9
18414,2012,48.5
18414,2013,20.9
18414,2014,49.7
18414,2015,46.9
18350,2010,17.8
18350,2011,17.8
18350,2012,6.3
18350,2013,8.0
18350,2014,8.0
18350,2015,14.9
18349,2010,51.0
18349,2011,43.1
18349,2012,34.7
18349,2013,43.1
18349,2014,43.1
18349,2015,43.1
18416,2010,53.5
18416,2011,47.6
18416,2012,29.7
18416,2013,56.8
18416,2014,68.2
18416,2015,46.9
18405,2010,35.4
18405,2011,35.9
18405,2012,30.0
18405,2013,30.7
18405,2014,29.8
18405,2015,30.2
18362,2010,59.5
18362,2011,59.5
18362,2012,52.0
18362,2013,52.0
18362,2014,66.9
18362,2015,66.9
18415,2010,46.6
18415,2011,45.6
18415,2012,26.4
18415,2013,56.8
18415,2014,63.9
18415,2015,46.9
18325,2010,11.4
18325,2011,14.4
18325,2012,10.9
18334,2010,48.4
18334,2011,34.9
18334,2012,22.3
18334,2013,29.7
18334,2014,56.4
18334,2015,47.5
18418,2010,61.0
18418,2011,55.4
18418,2012,25.3
18418,2013,56.8
18418,2014,61.1
18418,2015,52.5
18378,2010,16.5
18378,2011,16.6
18378,2012,15.0
18378,2013,46.1
18378,2014,46.1
18378,2015,46.1
18380,2010,16.6
18380,2011,25.0
18380,2012,42.2
18380,2013,34.6
18380,2014,34.6
18380,2015,34.6
18324,2010,44.6
18324,2011,67.8
18324,2012,81.1
18324,2013,73.0
18345,2011,26.9
18345,2012,34.0
18345,2013,30.9
18345,2014,32.1
18345,2015,68.3
18373,2010,47.7
18373,2011,46.8
18373,2012,69.5
18373,2013,66.9
18373,2014,66.9
18373,2015,66.9
18357,2010,48.6
18357,2011,70.6
18357,2012,57.6
18357,2013,36.6
18357,2014,65.7
18357,2015,56.1
18363,2010,47.2
18363,2011,49.0
18363,2012,43.9
18363,2013,43.0
18363,2014,45.5
18363,2015,39.2
18337,2010,56.5
18337,2011,44.6
18337,2012,41.6
18337,2013,52.0
18337,2014,59.5
18337,2015,44.6
18361,2010,66.9
18361,2011,59.5
18361,2012,59.5
18361,2013,59.5
18361,2014,66.9
18361,2015,66.9
18411,2010,38.7
18411,2011,38.7
18411,2012,22.3
18411,2013,22.8
18411,2014,21.6
18411,2015,22.3
18347,2012,21.9
18347,2013,22.3
18347,2014,29.7
18347,2015,22.3
18385,2010,43.1
18360,2010,44.6
18360,2011,44.6
18360,2012,44.6
18360,2013,44.6
18360,2014,44.6
18360,2015,41.6
18346,2010,38.7
18346,2011,39.7
18346,2012,50.3
18346,2013,43.1
18346,2014,42.9
18346,2015,74.4
18402,2010,35.2
18402,2011,32.2
18402,2012,29.7
18402,2013,27.6
18402,2014,33.2
18402,2015,32.4
18319,2010,58.9
18319,2011,57.7
18319,2012,59.1
18319,2013,59.4
18319,2014,59.4
18319,2015,58.9
18368,2015,56.5
18317,2010,26.8
18317,2011,26.8
18317,2012,29.7
18317,2013,29.7
18317,2014,29.7
18317,2015,29.7
18376,2010,44.2
18376,2011,42.6
18376,2012,53.9
18376,2013,38.2
18376,2014,37.8
18376,2015,32.7
18417,2010,51.5
18417,2011,55.9
18417,2012,51.5
18417,2013,42.6
18417,2014,66.7
18417,2015,46.9
18381,2010,13.9
18381,2011,60.7
18367,2010,37.9
18367,2011,40.1
18367,2012,38.7
18367,2013,38.5
18367,2014,33.2
18367,2015,70.1
18400,2010,42.5
18400,2011,46.7
18400,2012,50.6
18400,2013,52.0
18400,2014,51.4
18400,2015,51.4
18364,2010,51.9
18364,2011,50.4
18364,2012,41.1
18364,2013,44.6
18364,2014,47.0
18364,2015,43.5
18420,2010,51.0
18420,2011,57.1
18420,2012,61.0
18420,2013,51.6
18420,2014,58.2
18420,2015,46.9
18348,2010,30.4
18348,2011,32.3
18348,2012,33.8
18348,2013,34.9
18348,2014,35.2
18348,2015,35.1
18344,2010,48.8
18344,2011,49.1
18344,2012,62.2
18344,2013,53.7
18344,2014,54.5
18344,2015,75.8
18366,2010,58.7
18366,2011,59.4
18366,2012,59.3
18366,2013,56.4
18366,2014,58.6
18366,2015,61.1
18377,2010,41.7
18377,2011,42.6
18377,2012,43.2
18377,2013,50.6
18377,2014,50.6
18377,2015,47.6
18343,2010,31.1
18343,2011,39.2
18343,2012,49.6
18343,2013,40.3
18343,2014,30.8
18343,2015,71.4
18374,2010,32.9
18374,2011,29.0
18374,2012,42.2
18374,2013,34.2
18374,2014,34.2
18374,2015,34.2
18359,2010,65.4
18359,2011,71.4
18359,2012,59.5
18359,2013,52.0
18359,2014,66.9
18359,2015,52.0
